-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in UTC
Location: Latitude  49.26   Longitude -123.14 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 565.27 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2000,240.39,166.9,218.29,118.4,193.11,131.01,128.57,48.21,126.08,248.16,166.33,185.58,1971.03
PRECTOTCORR_SUM,2001,233.9,86.55,229.51,152.38,121.63,106.91,52.17,166.61,86.92,248.75,330.22,346.88,2162.43
PRECTOTCORR_SUM,2002,328.91,229.59,169.77,153.93,99.7,80.71,33.1,26.95,87.87,28.37,341.37,310.95,1891.22
PRECTOTCORR_SUM,2003,339.39,81.38,375.51,198.72,82.75,52.63,33.82,12.77,81.82,512.85,297.71,295.37,2364.72
PRECTOTCORR_SUM,2004,289.33,137.99,223.62,40.96,103.32,49.83,28.45,113.77,155.84,214.03,300.38,303.35,1960.87
PRECTOTCORR_SUM,2005,392.3,56.65,227.23,202.2,132.52,116.44,96.83,43.8,104.99,314.63,218.31,275.66,2181.56
PRECTOTCORR_SUM,2006,498.17,167.36,195.11,125.49,94.39,91.0,40.26,16.49,66.36,105.72,661.94,344.74,2407.03
PRECTOTCORR_SUM,2007,375.11,211.0,437.91,179.89,77.85,136.4,102.3,39.99,114.59,300.82,266.66,404.05,2646.57
PRECTOTCORR_SUM,2008,286.98,147.96,171.19,74.87,79.15,68.09,47.74,172.52,35.26,201.52,312.54,211.59,1809.41
PRECTOTCORR_SUM,2009,207.54,97.06,224.27,85.86,120.52,43.75,23.15,50.43,117.67,250.19,620.6,145.06,1986.1
PRECTOTCORR_SUM,2010,379.18,160.79,201.31,179.18,124.47,83.28,9.08,45.72,224.86,189.47,280.9,385.09,2263.33
PRECTOTCORR_SUM,2011,336.16,230.64,330.96,165.73,137.27,76.98,77.58,37.84,147.34,176.07,329.98,182.49,2229.04
PRECTOTCORR_SUM,2012,360.24,184.3,331.79,174.35,88.24,164.99,63.23,16.94,19.96,315.12,330.41,326.06,2375.63
PRECTOTCORR_SUM,2013,167.28,181.4,288.64,172.32,126.15,89.68,5.83,98.06,229.48,67.39,189.77,128.75,1744.75
PRECTOTCORR_SUM,2014,177.02,198.99,321.46,168.57,114.58,64.27,62.55,26.44,103.91,368.15,342.43,350.12,2298.49
PRECTOTCORR_SUM,2015,234.48,219.33,267.08,102.52,34.72,28.51,40.7,131.57,157.26,143.26,305.84,455.37,2120.64
PRECTOTCORR_SUM,2016,331.1,258.68,323.89,62.86,72.32,96.27,77.71,30.91,97.19,401.0,479.7,221.03,2452.66
PRECTOTCORR_SUM,2017,202.95,214.82,414.22,240.76,111.01,83.58,19.5,17.93,62.63,239.76,510.98,162.58,2280.72
PRECTOTCORR_SUM,2018,440.98,160.53,151.57,190.33,21.43,88.11,26.48,26.8,211.1,170.31,383.75,442.21,2313.6
PRECTOTCORR_SUM,2019,284.97,103.53,49.23,175.44,54.75,52.8,93.18,50.29,194.6,195.64,134.56,269.08,1658.07
PRECTOTCORR_SUM,2020,527.89,205.39,146.35,62.6,109.01,118.62,58.64,80.38,147.42,207.7,326.95,331.83,2322.78
PRECTOTCORR_SUM,2021,353.78,167.74,167.13,72.44,72.02,64.3,11.37,47.64,253.12,339.89,514.59,270.07,2334.09
PRECTOTCORR_SUM,2022,283.72,110.22,185.69,183.73,182.57,122.36,45.46,29.84,25.73,157.76,162.39,282.61,1772.08
PRECTOTCORR_SUM,2023,229.69,203.9,96.71,220.58,42.13,50.79,39.85,49.31,100.48,182.31,206.29,327.88,1749.92
PRECTOTCORR_SUM,2024,360.2,172.36,182.69,136.13,110.18,117.48,30.68,117.44,108.2,308.17,283.46,314.69,2241.68
PRECTOTCORR_SUM,2025,67.19,162.59,314.42,102.54,101.99,51.21,54.22,114.05,153.44,262.15,270.16,430.33,2084.29
